연도,상권_코드,상권_코드_명_매출,총매출,평균유동인구
2024,3110372,강북중학교,12388278125,1461367.220338983
2024,3110373,수유역 2번,3904810043,1284890.7948717948
2024,3110374,송중초등학교,7055898672,2580641.768115942
2024,3110375,서울북부고용노동지청,2663924983,514291.5333333333
2024,3110376,수송초등학교,31886390571,3028864.7333333334
2024,3110377,미아사거리역 3번,6815200752,704173.52
2024,3110378,송중동주민센터,7869029547,839394.75
2024,3110379,KT&G 북부지사,1893514187,178597.25
2024,3110380,강북문화정보도서관,63733257,576133.4
2024,3110381,번동주공2단지,4572711417,402529.3076923077
2024,3110382,솔밭공원역 1번,3499782082,540921.25
2024,3110383,덕성여대시반거리,8912399882,68247.36734693877
2024,3110386,연산군묘,3107520857,27143.75
2024,3110387,쌍문초등학교,10906951204,1536222.25
2024,3110388,도봉우체국,6752215550,695071.0645161291
2024,3110389,한일병원,26008154885,411389.7826086957
2024,3110390,방학초등학교,21814159577,557279.768115942
2024,3110391,샘말어린이공원,2604407346,494199.1304347826
2024,3110392,발바닥공원,22337244279,96962.75
2024,3110393,국민은행방학지점,13182083913,40587.25
2024,3110394,방학중학교,26250950422,1061273.6923076923
2024,3110395,신한은행 방학동지점,4729287217,388391.75
2024,3110396,쌍문역1번(쌍리단길),52780671243,791082.2361111111
2024,3110397,도봉산입구,79176494466,1454828.1339285714
2024,3110398,쌍문2동우체국,35935076724,891592.5316455696
2024,3110399,창2동주민센터,19180851224,1814835.3733333333
2024,3110400,도봉구보건소,21459214862,1341327.5263157894
2024,3110401,도봉구민회관,5311844933,182753.54545454544
2024,3110402,도봉구 정병원,11103240600,557063.75
2024,3110403,방학1동주민센터,25079654873,1333141.6463414633
2024,3110404,신창초등학교,40168886726,3045001.301587302
2024,3110405,방학역 1번,53176401374,1270423.8439716313
2024,3110406,도봉산역 1번,22696753726,258245.5
2024,3110407,도봉역 2번,31774822214,1026052.8701298701
2024,3110408,가인초등학교,16838320960,292894.73170731706
2024,3110409,창동역 2번,19499654231,546468.947368421
2024,3110410,방학역 2번,28939517238,630639.6521739131
2024,3110411,도봉역 3번,3086403823,628544.25
2024,3110412,창동중학교,3439728625,151871.75
2024,3110413,누원고등학교,3059988484,84495.42857142857
2024,3110415,수락산역 4번,71189764429,1911393.4100719425
2024,3110416,노원초등학교,28845448271,885496.9705882353
2024,3110417,월계역 3번,2079751348,371454.25
2024,3110418,광운대학교 남단,2533352594,876565.25
2024,3110419,수락산디자인거리,52458661705,839754.8
2024,3110420,광운대역 1번,14515059531,458233.07575757575
2024,3110421,석계역 1번,33460513783,364359.56
2024,3110422,노원역 9번,6709176506,837559.5
2024,3110423,석계역 2번,7603391741,296206.5
2024,3110424,상계초등학교,28406219556,2285840.6393442624
2024,3110425,계상초등학교,14580929588,700476.4634146341
2024,3110426,상계2동주민센터,6912972840,1613000.8333333333
2024,3110428,상계5동주민센터,30151087634,3345821.75
2024,3110429,공릉동 국수거리,41851933443,1892039.2547169812
2024,3110430,중계초등학교,57879985776,85626.0
2024,3110431,상계역,77804521579,487668.796460177
2024,3110432,대진고등학교,7610007892,376331.25
2024,3110433,공릉역 2번,2618367419,1455898.5
2024,3110434,태릉입구역 4번,1693526302,483264.0
2024,3110435,서울과학기술대,8589901485,110529.5
2024,3110436,상계제일중학교,10839620596,483809.5
2024,3110437,당고개역 2번,5353370406,1416812.4285714286
2024,3110438,경춘선숲길 우측,55691416406,1635671.9696969697
2024,3110439,당고개역 5번,7125243774,903718.4102564103
2024,3110440,상계3동4동주민센터,4125138,218737.5
2024,3110441,영신여고,14438706214,668103.262295082
2024,3110442,화랑대철도공원,1652499028,126067.25
2024,3110444,수색성당,2021731571,202432.0
2024,3110446,내를건너서숲으로도서관,1118736639,119184.15
2024,3110447,구산초등학교,352535003,432336.0909090909
2024,3110448,상신초등학교입구,3404578284,375776.73333333334
2024,3110449,증산역 3번,17513906851,938371.0394736842
2024,3110450,시립서북병원,24113377834,1676150.2254901961
2024,3110451,증산역 4번,13199526807,875931.3454545455
2024,3110452,새절역 3번,6136689678,711339.7446808511
2024,3110453,신사1동주민센터,18324456674,1097861.5974025973
2024,3110454,선정중학교,6937406368,1329259.972972973
2024,3110455,역촌노인복지관,17674666519,1541022.1686746988
2024,3110456,구산보건지소,12099121318,1561097.8076923077
2024,3110457,예일여고,5736898546,679234.8918918918
2024,3110458,선일여고,9830657666,859229.623655914
2024,3110459,응암역 2번,6860927482,1246392.66
2024,3110460,구산역 4번,44993541690,1408640.275510204
2024,3110461,새절역 2번,5246857776,244441.05263157896
2024,3110462,갈현건영아파트,3317207750,628798.3333333334
2024,3110463,응암3동주민센터,17540219650,718888.75
2024,3110464,연신내역 5번,15249177191,523579.4905660377
2024,3110465,연신내역 7번,15072692318,1338624.4328358208
2024,3110466,구산역 2번,5240058873,956914.8181818182
2024,3110467,은평요양병원,23153687796,442670.83050847455
2024,3110468,응암역 3번,20517552976,2748741.905263158
2024,3110469,응암정보도서관,40186718266,1437567.3758865248
2024,3110470,신진과학기술고등학교,5142586990,705955.275862069
2024,3110471,응암동우체국,41702904646,1389225.8510638298
2024,3110472,연신내역 4번,15342001950,1429251.1666666667
2024,3110473,구산역 1번,22576630079,1765093.0340909092
2024,3110474,세명컴퓨터고등학교,3284779597,932543.1724137932
2024,3110475,백련산해모로아파트,8805746964,413016.3965517241
2024,3110476,역촌역 2번,392383728,109823.0
2024,3110477,은평세무서,14577883753,408641.70967741933
2024,3110478,응암1동주민센터,7653854608,300942.0
2024,3110479,연신내역 2번,14357051722,1291877.105263158
2024,3110480,연신내역 3번,3521666547,244975.8
2024,3110481,불광역 7번,14149874164,3654042.9836065574
2024,3110482,연신초등학교,4103663444,305199.25
2024,3110483,연천초등학교,1311233954,591032.5
2024,3110484,역촌역 3번,11276881655,1317072.564102564
2024,3110485,연신내우체국,2972029031,451088.75
2024,3110486,은평구청,25277298216,626019.75
2024,3110487,불광역 8번,15570151167,158859.0
2024,3110488,우리은행응암동지점,9797643428,349515.3617021277
2024,3110489,불광역 3번,4299559542,466324.25
2024,3110490,녹번동근린공원,3031236130,512764.0
2024,3110491,불광중학교,357273059,98113.25
2024,3110492,하나고등학교,719380724,13124.5
2024,3110493,북가좌초등학교,542601572,280071.6111111111
2024,3110494,증산3교남측,357360385,216695.75
2024,3110495,북가좌2동주민센터,29999398871,1128709.25
2024,3110496,모래내우체국,30781388460,858653.5189873418
2024,3110497,가좌역 3번,1440493773,84742.35294117648
2024,3110498,증산역 1번,12140423132,2285979.846153846
2024,3110499,연가초등학교,2069690907,2024967.2307692308
2024,3110500,남가좌동현대아파트,7758610599,176206.25
2024,3110501,연희어린이공원,1500743115,245582.33333333334
2024,3110502,남가좌파출소,44400316853,1915618.0952380951
2024,3110503,명지대학교교회,25584755887,1642569.7083333333
2024,3110505,홍남교남측,661323687,29548.0
2024,3110506,연희임광아파트,3296829866,207393.88235294117
2024,3110507,명지대학교,48033857914,1563428.1860465116
2024,3110508,서연중학교,5755107585,767622.0
2024,3110509,연희대우아파트앞,14764279087,905599.53125
2024,3110510,홍연시장,6205088108,904990.2307692308
2024,3110511,연희초등학교,9801752999,1007919.8717948718
2024,3110512,연희지하차도,58789351,944910.0
2024,3110513,연희파출소,7845894347,247907.23076923078
2024,3110514,서대문우체국,2575705165,752305.8421052631
2024,3110515,홍은중학교,295676300,275310.75
2024,3110516,정원여중,484405734,84589.75
2024,3110517,서대문소방서,5552205453,301738.2962962963
2024,3110519,서대문구보건소별관,6978948589,1361335.0303030303
2024,3110520,경의중앙 신촌역,7845313784,770696.8
2024,3110521,홍제역 4번,6799694302,624449.2857142857
2024,3110522,홍제역 3번,1058259273,311228.0
2024,3110523,홍제성원아파트,733292509,59968.25
2024,3110524,연희세브란스병원,6952217987,143220.25
2024,3110525,홍은종합사회복지관,6244746269,358753.5
2024,3110526,봉원사,4156018901,133133.0
2024,3110527,홍제역 2번,6555034768,421581.17391304346
2024,3110528,서울여자간호대학교,11643949285,828095.4594594594
2024,3110529,홍제3동주민센터,14961068128,1043187.9102564103
2024,3110530,아현역 1번,2938851174,184180.6
2024,3110532,아현역 2번,21560350550,1105576.5
